Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0x69ea1c58662db26c43462221339b386709d4b44af23ce9b7feb401c0c3deeea9,2024-11-26 13:16:11,0x8c8d7c46219d9205f056f28fee5950ad564d7465,0xa39b189482f984388a34460636fea9eb181ad1a6,ETH Transfer,,ETH,,0.005646810060003162,0.000579953337789
0xc09da0b378f6e1c390cb9df6f9fd515d2cd35d83602302af0dc0a4f2c11c9a7f,2024-11-26 19:58:11,0xa39b189482f984388a34460636fea9eb181ad1a6,0xdac17f958d2ee523a2206206994597c13d831ec7,Contract Interaction,,ETH,,0.0,0.000686615780708143
0xd84b99c3159d67b2869d340ab39a6b1c2542502fa9e1e516469f8088a1a9eb83,2024-12-20 10:35:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xdac17f958d2ee523a2206206994597c13d831ec7,Contract Interaction,,ETH,,0.0,0.002325651538148029
0xdd9f6f4220d80d7c31cce7515ddca79838d83aa2a0f477e7071650ced564bc84,2025-02-14 12:12:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Contract Interaction,,ETH,,0.0,6.887418337448e-05
0xf63411bd2abb7ecebaf9fe5aafeb6a87d4e565a21d5294335d0da1c7afa8f0d0,2025-02-21 08:02:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Contract Interaction,,ETH,,0.0,6.503533385154e-05
0xef36052def6ae742a87dc8be51c308b26142b81dd8bd39cf6de39447aeca2afb,2025-04-06 16:54:23,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Contract Interaction,,ETH,,0.0,6.7274706954936e-05
0x94bcccffda6327af2e5a609eb1186347a1847418d3cb55fe723479dc0723c6e3,2024-11-26 06:35:59,0x258494a21d9ea90fcbcb9e22bd57c6899de0d995,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,,647.821942,
0xc09da0b378f6e1c390cb9df6f9fd515d2cd35d83602302af0dc0a4f2c11c9a7f,2024-11-26 19:58:11,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20 Transfer,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,,647.821942,
0x5ba94c0c84deaba03adbac8495bdcd75c8a0e53fccb386fcdfdc052030205a27,2024-12-20 00:04:47,0x258494a21d9ea90fcbcb9e22bd57c6899de0d995,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,,832.445411,
0xd84b99c3159d67b2869d340ab39a6b1c2542502fa9e1e516469f8088a1a9eb83,2024-12-20 10:35:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20 Transfer,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,,832.445411,
0xfcd8c3e39f59d0b5c40c3700961141b4c227d12b9a3bfda711c9120cf08d3e5c,2025-02-14 02:52:11,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,801.797344,
0xdd9f6f4220d80d7c31cce7515ddca79838d83aa2a0f477e7071650ced564bc84,2025-02-14 12:12:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,210.469998,
0xf63411bd2abb7ecebaf9fe5aafeb6a87d4e565a21d5294335d0da1c7afa8f0d0,2025-02-21 08:02:59,0xa39b189482f984388a34460636fea9eb181ad1a6,0xcab8dc8aa5f79ce5b5f730bdabf4b55d1a96b6f3,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,591.327346,
0x70180fff2c5e884ab70c6b427443c7f6ec3cec2e8a32fe30555d3d273eaf5451,2025-03-10 06:19:35,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,289.89527,
0x37077f6a0225a9be78d8a1d224b8a9f05aad80cc89dd560942cca4638ee712d6,2025-03-12 04:13:47,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,8899.885422,
0xef36052def6ae742a87dc8be51c308b26142b81dd8bd39cf6de39447aeca2afb,2025-04-06 16:54:23,0xa39b189482f984388a34460636fea9eb181ad1a6,0x1c147efe3d7da21b03021a6e4ac445c16293e6e1,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,500.0,
0x5f7648f416a5fa18833416b86caebf86a629da7b4f8f3f89182a3a8f081688ef,2025-04-07 08:39:35,0xb8001c3ec9aa1985f6c747e25c28324e4a361ec1,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,500.0,
